east,text,date
East,The ability to fly across large distances on short notice made the Luftwaffe an integral part in waging war and 'plugging the gaps' when they arose. The Russian attack in Kharkov was stopped in large part by Luftwaffe bombers quickly flying from the Crimea to assist in ground operations.,1942-05-15
East ,"Germany, concerned about oil production, attacks far into Southern Russia to capture the Caucasian oil fields. ",1942-06-15
East ,Germans capture the Caucasian oil fields but could not be exploited as they were destroyed by the retreating Russians. The focus of attack was on capturing the city of Stalingrad. ,1942-10-15
West,Second Battle of El Alamein near Cairo marks the end of German territorial advances in the Western Fronts. This coincides closely with the fartheset German forces advanced in the East.  ,1942-10-15
East ,Germans made it to Grozny oil fields but could not be exploited as they were destroyed by the retreating Soviets. The focus of attack was on capturing the city of Stalingrad.  ,1942-10-15
East ,"The Luftwaffe fights in three major fronts; Invasion of Sicily, Kursk, and Defense of the Reich. While the vast majority of the army is in the Eastern Front Germany allocates more and more Luftwaffe resources to the West from this point on. ",1942-11-15
West,US and GB forces land in North Africa. As French forces collapsed against allied attacks Germany occupies Vichy France and Tunisia. Since the Italian navy could not send shipments in British dominated waters the Luftwaffe is continually relied upon to transport supplies to North Africa. ,1942-11-15
East ,By the middle of the month the Stalingrad pocket lost it's major airfield to Russian attacks. ,1943-01-15
East ,German forces in Stalingrad surrender. Russia continues it's attack.,1943-01-15
East ,Germany counterattacks and stablizes the front. This is the last meaningful German victory on the Eastern Front creating a salient at Kursk.,1943-02-15
West,Operation Flax an allied attack on Nazi transport planes supplying Tunisia. While the number of planes are relatively small in the Mediterranean allied air attacks inflict consistant and high losses. ,1943-04-15
West,Additional Fighters are stationed in Western Germany to fight the USAAF daylight attacks. USAAF priority is to attain air supremecy for the Allied invasion of France set to happen next year. ,1943-06-15
East,Largest tank battle in history at Kursk. The lufwaffe assists but no longer has air supremecy in the East. ,1943-07-15
East,German attack faulters and the Russian counter attack at Kursk sees the Germans retreating from Central Russia. ,1943-10-15
West,"The Luftwaffe fights in three major fronts; Invasion of Sicily, Kursk, and Defense of the Reich. While the vast majority of the army is in the Eastern Front Germany will allocate more and more Luftwaffe resources to the West from this point. ",1943-07-15
West,Germany occupies Italy after Italian surrender. Due to the mountainous terrain the Germans are able to hold on and fight the Allied offensive with relatively small numbers of troops and planes. ,1943-08-15
West,Allies land in in Southern Italy. Due to the mountainous terrain the Germans are able to hold on and fight the Allied offensive with relatively small numbers of troops and planes. ,1943-08-15
West,USAAF routinely sends mass formations of bombers (300+) to bomb factories in Germany. Outside the range of fighter escort the Germans counter by arranging large scale formation of interceptors and inflict heavy casualties on the invading bombers. USAAF pauses bombing in Germany. ,1943-10-15
West,The advant of the P-51 and drop tanks a the end of 1943 provide the allies with a long range escort necessary to fly bombing missions into Germany with acceptable losses.,1943-12-15
West,The effectivenss of the combined strategic bombing campaigns of USAAF and RAF continued to be debated to this day. What can not be debated is the large scale shift in focus to meet these threats. Additional fighters are stationed to protect the reich and bombers are stationed in France for revenge attacks on England. ,1944-01-15
West,USAAF launches Operation Argument with the goal to minimise the ‘Production-wastage’ differential by attacking both the factories on the ground and Luftwaffe in the air.,1944-02-15
West,Due to efficiency gains made in the prior years German fighter production increases. USAAF now focus on maximizing the ‘wastage’ of german pilots in combat by luring Luftwaffe up to fight with attacks on Berlin.,1944-03-15
West,Luftwaffe pilot attrition is high and quality of new pilots decreases steadily. USAAF launches attack on German synthetic fuel production which will reduce operations in coming months. ,1944-05-15
West,Luftwaffe sends hundreds of fighters into France to fight the Allied invasion of Normandy. Many more Allied aircraft can fly over France than Germany and the Luftwaffe is mauled with well over 100% loss rates. ,1944-06-15
East,Russia attacks with Operation Bagration and large numbers of Germans are surrounded and taken prisoner. It is the largest defeat in German military history.,1944-06-15
East,Russian troops nearly make it to Warsaw. Polish nationalists within the city stage the Warsaw Uprising expecting Russian aid. It does not come. It's said that Stalin is more interested in the post war world than a quick defeat of Nazi Germany. The Germans crush the uprising. ,1944-08-15
West,Allies break out of Normandy. ,1944-07-15
West,Germans encircled in the Falaise pocket. Most of German forces and Luftwaffe retreat to Germany.,1944-08-15
West,"Combined allied forces launch a large scale airborne attack in Holland to capture a series of bridges to Germany. It proves to be a ""bridge too far"". USAAF attacks on Germany continue after supporting Normandy Invasion.",1944-09-15
West,Luftwaffe stil loses hundreds of planes a month in the air campaign against the USAAF. The interesting thing about this is that it's not really mentioned in history books. Allied air forces are so large that even this relatively large scale resistance isn't noteworthy.,1944-11-15
West,Fighters move to Western Germany and support the German offensive known as the Battle of the Bulge. Even with this build up in forces Germany knows it won't have air supremacy so it waits until poor weather to attack. ,1944-11-15
West,Operatoin Bodenplatte sees a suprise attack on allied airfields in France to support Battle of the Bulge. Inflicting damage to the allies it proved to be pyrhic.   It was the last large scale air offensive of the Luftwaffe.,1945-01-15
East,"Focus is on the Balkans with takeover of Bulgaria, Romania, and Hungary in the coming months. ",1944-10-15
East,Budapest falls to Soviet armies. ,1945-02-15
East,"Battle of Berlin. April 30 Hitler commits suicide. Some fighting continued until unconditional German surrender on May 8, 1945.",1945-04-15
